Year (date),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),AWC Infrastructure Drinking Water Source (awc_infra_dws),AWC Infrastructure Fuctional Toilets (awc_infra_fun_toilets),AWC Infrastructure Own Building (awc_infra_own_buil),Aadhaar verified Beneficiaries (aadhar_verf_benf),Adolescent Girls (adolescent_girls),Anganwadi Centers Open For Atleast 1 Day (awc_open_1day),Anganwadi Centers Open For Atleast 21 Days (awc_open_21day),Anganwadi Workers (aww),Angwanwadi Centers (awc),Children (0-6 Months) (children_0_6_months),Children (3 - 6 Years) (children_3_6_years),Children (6 Months - 3 Years) (children_6months_3years),Children Attended AWC For Atleast 21 days (children_awc_21days),Children(3 - 6 Years) Non-school Going (children_3_6_years_nonschool),Children(3 - 6 Years) School Going (children_3_6_years_school),Eligible Beneficiaries (elgb_benef),Health ID Created (health_id_created),Hot Cooked Meal (HCM) Given For 1-6 Days (hcm_1_6days),Hot Cooked Meal (HCM) Given For 15-20 Days (hcm_15_20days),Hot Cooked Meal (HCM) Given For 7-14 Days (hcm_7_14days),Hot Cooked Meal (HCM) Given For Atleast 1 Day (hcm_atleast_1day),Hot Cooked Meal (HCM) Given For Atleast 15 Days (hcm_atleast_15days),Hot Cooked Meal (HCM) Given For Atleast 21 Days (hcm_atleast_21days),Lactating Mothers (lact_mothers),Pregnant Women (pregnant_women),Project (project),Sector (sector),Take Home Ration Given For Atleast 1 Day (thm_atleast_1day),Take Home Ration Given For Atleast 21 Days (thm_atleast_21days)
01-05-2023,Gujarat,24,Ahmadabad,438,3554,3595,1942,322029,0,3627,3541,3559,3628,17360,147288,132799,95097,119735,27553,338417,1780,9748,12900,9750,127357,107859,94959,17101,23869,30,146,158957,158775
01-03-2023,Bihar,10,Begusarai,191,1817,2039,490,291271,0,3140,1719,3255,3355,5841,157938,110923,37536,156758,1180,294321,795,29949,23810,24514,112783,58320,34510,8026,11593,18,121,30088,29959
01-02-2023,Rajasthan,8,Jhalawar,105,102,172,418,116845,0,1503,1049,1513,1513,6584,49462,52461,4023,48234,1228,127056,1085,11361,6729,10219,31353,9773,3044,8676,9873,8,49,9857,9739
01-06-2023,Uttar Pradesh,9,Gonda,147,1388,1548,1239,377471,0,3060,1855,3042,3095,15148,132464,176793,4839,128992,3472,380758,101,4087,369,904,5516,525,156,20094,36259,17,109,169489,168360
01-07-2023,Uttar Pradesh,9,Gonda,147,1388,1548,1239,378508,0,3079,2178,3042,0,14248,134154,178223,6674,130494,3660,383052,104,5221,593,1964,7914,729,136,18113,38314,17,109,188682,186415
01-05-2023,Uttar Pradesh,9,Moradabad,171,668,870,612,302167,0,2757,1980,2680,2770,15192,92087,149807,3761,90184,1903,303843,1139,4902,683,1686,7624,1036,353,18013,28744,9,151,142592,141434
01-07-2023,Andhra Pradesh,28,Y.s.r.,504,597,676,796,154304,0,3605,2026,3567,0,4808,74956,76634,19555,70708,4248,172836,2267,13455,13963,11312,57996,33229,19266,5875,10563,15,147,15173,15149
01-03-2023,Goa,30,South Goa,552,287,267,121,15381,0,640,429,711,718,1884,13622,19835,1917,12311,1311,40350,293,1759,2242,1879,7682,4044,1802,2345,2664,7,33,3203,3203
01-04-2023,Uttar Pradesh,9,Amroha,154,148,199,157,147302,0,1411,713,1387,1430,8567,38902,72959,1936,37395,1507,148325,3590,1793,311,595,2717,329,18,11474,16423,7,47,79449,78361
01-03-2023,Lakshadweep,31,Lakshadweep District,553,8,8,6,4718,0,31,0,70,73,305,1901,3398,0,1893,8,6279,362,129,2,75,206,2,0,284,391,9,9,0,0
01-05-2023,Nagaland,13,Dimapur,244,7,22,40,259,0,402,109,523,525,360,7121,3952,761,6477,644,11959,15,1596,289,598,2776,582,293,267,259,6,21,15,3
01-07-2023,Madhya Pradesh,23,Sidhi,433,80,283,281,122303,0,1902,1801,1890,0,4946,64085,51976,25605,63833,252,136597,26,10318,14081,12524,61013,38171,24090,5689,9901,7,73,35275,12507
01-07-2023,Gujarat,24,Gir Somnath,675,1085,1061,676,83890,0,1166,1158,1166,0,5546,29649,38313,26521,28923,726,86716,14352,1177,1469,1221,30380,27982,26513,5528,7680,8,47,48565,48426
01-06-2023,West Bengal,19,Jalpaiguri,314,422,518,821,211938,0,3933,3769,3453,3940,9682,97610,80916,50025,95444,2166,213934,787,8970,11370,7430,77309,60909,49539,10285,15441,16,169,65934,47386
01-07-2023,Bihar,10,Jehanabad,199,839,920,635,99590,0,1272,1058,1250,0,1917,53778,40308,20822,53159,619,104358,8,6989,11602,8017,47167,32161,20559,2534,5821,7,70,33714,33554
01-05-2023,Bihar,10,Aurangabad,189,1407,1408,1381,196083,0,2483,1756,2519,2735,4327,110035,75372,37456,108883,1152,203592,190,19156,17448,17813,89550,52581,35133,4976,8882,11,150,18790,17653
